review_id,distractor_index,option_label,judged_equivalent,judge_reason,regenerated,attempts,success,failure_reason,original,final,candidate_history
arxiv/QLoRA/1,0,(B),False,,False,0,True,,Gradient Checkpointing,Gradient Checkpointing,[]
arxiv/QLoRA/1,1,(C),False,,False,0,True,,Paged Optimizers,Paged Optimizers,[]
arxiv/QLoRA/1,2,(D),False,,False,0,True,,Low Rank Adapters (LoRA),Low Rank Adapters (LoRA),[]
arxiv/QLoRA/1,3,(E),False,,False,0,True,,4-bit NormalFloat (NF4),4-bit NormalFloat (NF4),[]
arxiv/QLoRA/3,0,(A),False,,False,0,True,,Paged Optimizers.,Paged Optimizers.,[]
arxiv/QLoRA/3,1,(B),False,,False,0,True,,8-bit integer quantization (INT8).,8-bit integer quantization (INT8).,[]
arxiv/QLoRA/3,2,(D),False,,False,0,True,,Double Quantization.,Double Quantization.,[]
arxiv/QLoRA/3,3,(E),False,,False,0,True,,4-bit floating point (FP4).,4-bit floating point (FP4).,[]
arxiv/QLoRA/2,0,(A),False,,False,0,True,,98.7\%,98.7\%,[]
arxiv/QLoRA/2,1,(B),False,,False,0,True,,93.9\%,93.9\%,[]
arxiv/QLoRA/2,2,(D),False,,False,0,True,,100.0\%,100.0\%,[]
arxiv/QLoRA/2,3,(E),False,,False,0,True,,24.0\%,24.0\%,[]
arxiv/QLoRA/7,0,(A),False,,False,0,True,,LoRA-augmented 65B parameter model,LoRA-augmented 65B parameter model,[]
arxiv/QLoRA/7,1,(B),False,,False,0,True,,LLaMA 33B parameter model,LLaMA 33B parameter model,[]
arxiv/QLoRA/7,2,(C),False,,False,0,True,,quantized 4-bit pretrained model,quantized 4-bit pretrained model,[]
arxiv/QLoRA/7,3,(E),False,,False,0,True,,GPT-3 175B parameter model,GPT-3 175B parameter model,[]
arxiv/QLoRA/5,0,(B),False,,False,0,True,,70B parameter.,70B parameter.,[]
arxiv/QLoRA/5,1,(C),False,,False,0,True,,175B parameter.,175B parameter.,[]
arxiv/QLoRA/5,2,(D),False,,False,0,True,,48GB model.,48GB model.,[]
arxiv/QLoRA/5,3,(E),False,,False,0,True,,33B parameter.,33B parameter.,[]
arxiv/QLoRA/0,0,(B),False,,False,0,True,,too biased to serve as a substitute for human evaluation.,too biased to serve as a substitute for human evaluation.,[]
arxiv/QLoRA/0,1,(C),False,,False,0,True,,not trustworthy to accurately evaluate performance levels.,not trustworthy to accurately evaluate performance levels.,[]
arxiv/QLoRA/0,2,(D),False,,False,0,True,,less reliable than established benchmark-based comparisons.,less reliable than established benchmark-based comparisons.,[]
arxiv/QLoRA/0,3,(E),False,,False,0,True,,mainly suitable for preliminary screening of chatbot quality.,mainly suitable for preliminary screening of chatbot quality.,[]
arxiv/QLoRA/6,0,(B),False,,False,0,True,,Low Rank Adapters (LoRA),Low Rank Adapters (LoRA),[]
arxiv/QLoRA/6,1,(C),False,,False,0,True,,4-bit NormalFloat (NF4),4-bit NormalFloat (NF4),[]
arxiv/QLoRA/6,2,(D),False,,False,0,True,,Gradient Checkpointing,Gradient Checkpointing,[]
arxiv/QLoRA/6,3,(E),False,,False,0,True,,Double Quantization,Double Quantization,[]
arxiv/QLoRA/4,0,(A),False,,False,0,True,,the efficiency gains of 8-bit optimizer-based finetuning.,the efficiency gains of 8-bit optimizer-based finetuning.,[]
arxiv/QLoRA/4,1,(B),False,,False,0,True,,the accuracy of the original unquantized pretrained model.,the accuracy of the original unquantized pretrained model.,[]
arxiv/QLoRA/4,2,(C),False,,False,0,True,,the quality of standard LoRA finetuning on frozen adapters.,the quality of standard LoRA finetuning on frozen adapters.,[]
arxiv/QLoRA/4,3,(D),False,,False,0,True,,99.3% of the performance level of ChatGPT.,99.3% of the performance level of ChatGPT.,[]
arxiv/QLoRA/11,0,(A),False,,False,0,True,,BLEU evaluations.,BLEU evaluations.,[]
arxiv/QLoRA/11,1,(B),False,,False,0,True,,Vicuna benchmark evaluations.,Vicuna benchmark evaluations.,[]
arxiv/QLoRA/11,2,(D),False,,False,0,True,,ROUGE evaluations.,ROUGE evaluations.,[]
arxiv/QLoRA/11,3,(E),False,,False,0,True,,ChatGPT comparisons.,ChatGPT comparisons.,[]
arxiv/QLoRA/10,0,(A),False,,False,0,True,,reduce the memory footprint of LLMs.,reduce the memory footprint of LLMs.,[]
arxiv/QLoRA/10,1,(B),False,,False,0,True,,remove the need for any additional training data.,remove the need for any additional training data.,[]
arxiv/QLoRA/10,2,(C),False,,False,0,True,,quantize a pretrained model down to 4-bit precision.,quantize a pretrained model down to 4-bit precision.,[]
arxiv/QLoRA/10,3,(D),False,,False,0,True,,make regular 16-bit finetuning feasible on a single GPU.,make regular 16-bit finetuning feasible on a single GPU.,[]
arxiv/QLoRA/9,0,(A),False,,False,0,True,,"BERT, PaLM","BERT, PaLM",[]
arxiv/QLoRA/9,1,(B),False,,False,0,True,,"LLaMA, Guanaco","LLaMA, Guanaco",[]
arxiv/QLoRA/9,2,(C),False,,False,0,True,,"GPT-3, T5","GPT-3, T5",[]
arxiv/QLoRA/9,3,(D),False,,False,0,True,,"Vicuna, ChatGPT","Vicuna, ChatGPT",[]
arxiv/QLoRA/13,0,(A),False,,False,0,True,,an 8-bit quantized finetuning baseline.,an 8-bit quantized finetuning baseline.,[]
arxiv/QLoRA/13,1,(B),False,,False,0,True,,a LoRA-only adapter-tuned baseline.,a LoRA-only adapter-tuned baseline.,[]
arxiv/QLoRA/13,2,(D),False,,False,0,True,,a 32-bit full-precision finetuned baseline.,a 32-bit full-precision finetuned baseline.,[]
arxiv/QLoRA/13,3,(E),False,,False,0,True,,the original pretrained LLaMA 65B model.,the original pretrained LLaMA 65B model.,[]
arxiv/QLoRA/14,0,(A),False,,False,0,True,,learnable bias and layer-normalization parameters.,learnable bias and layer-normalization parameters.,[]
arxiv/QLoRA/14,1,(B),False,,False,0,True,,a small set of trainable prefix-tuning vectors.,a small set of trainable prefix-tuning vectors.,[]
arxiv/QLoRA/14,2,(C),False,,False,0,True,,a novel high-precision quantization technique.,a novel high-precision quantization technique.,[]
arxiv/QLoRA/14,3,(E),False,,False,0,True,,full 16-bit copies of the pretrained weights.,full 16-bit copies of the pretrained weights.,[]
arxiv/QLoRA/15,0,(A),False,,False,0,True,,the Vicuna benchmark.,the Vicuna benchmark.,[]
arxiv/QLoRA/15,1,(B),False,,False,0,True,,human evaluations.,human evaluations.,[]
arxiv/QLoRA/15,2,(D),False,,False,0,True,,GPT-4 evaluations.,GPT-4 evaluations.,[]
arxiv/QLoRA/15,3,(E),False,,False,0,True,,perplexity-based automatic metrics.,perplexity-based automatic metrics.,[]
arxiv/QLoRA/16,0,(A),False,,False,0,True,,4-bit Integer.,4-bit Integer.,[]
arxiv/QLoRA/16,1,(B),False,,False,0,True,,Double Quantization.,Double Quantization.,[]
arxiv/QLoRA/16,2,(D),False,,False,0,True,,4-bit Float.,4-bit Float.,[]
arxiv/QLoRA/16,3,(E),False,,False,0,True,,4-bit Minifloat.,4-bit Minifloat.,[]
arxiv/QLoRA/18,0,(A),False,,False,0,True,,memory overhead.,memory overhead.,[]
arxiv/QLoRA/18,1,(B),False,,False,0,True,,gradient checkpointing spikes.,gradient checkpointing spikes.,[]
arxiv/QLoRA/18,2,(C),False,,False,0,True,,training stability issues.,training stability issues.,[]
arxiv/QLoRA/18,3,(D),False,,False,0,True,,quantization-induced errors.,quantization-induced errors.,[]
arxiv/QLoRA/19,0,(A),False,,False,0,True,,the largest publicly available model on a single GPU.,the largest publicly available model on a single GPU.,[]
arxiv/QLoRA/19,1,(B),False,,False,0,True,,an 8-bit quantized model.,an 8-bit quantized model.,[]
arxiv/QLoRA/19,2,(D),False,,False,0,True,,a pretrained model using only LoRA adapter weights.,a pretrained model using only LoRA adapter weights.,[]
arxiv/QLoRA/19,3,(E),False,,False,0,True,,a 16-bit LLaMA 65B model.,a 16-bit LLaMA 65B model.,[]
arxiv/QLoRA/17,0,(A),False,,False,0,True,,ZeRO-Offload,ZeRO-Offload,[]
arxiv/QLoRA/17,1,(B),False,,False,0,True,,4-bit NormalFloat,4-bit NormalFloat,[]
arxiv/QLoRA/17,2,(D),False,,False,0,True,,Double Quantization,Double Quantization,[]
arxiv/QLoRA/17,3,(E),False,,False,0,True,,Low-rank Adapter weights,Low-rank Adapter weights,[]
arxiv/QLoRA/21,0,(A),False,,False,0,True,,Quantization-Aware Training,Quantization-Aware Training,[]
arxiv/QLoRA/21,1,(C),False,,False,0,True,,4-bit NormalFloat,4-bit NormalFloat,[]
