step,probe_index,log_prob,perplexity,target_rank
0,0,-5.0214009284973145,5.332394123077393,8.0
0,1,-10.51569652557373,33.28916931152344,32.0
0,2,-7.605508327484131,44.824466705322266,43.0
0,3,-39.44668197631836,716.5493774414062,372.0
0,4,-12.164732933044434,20.929994583129883,114.0
0,5,-16.6043701171875,253.35458374023438,84.0
0,6,-13.504639625549316,856.0422973632812,464.0
0,7,-13.734884262084961,15.595413208007812,58.0
2,0,-5.008063793182373,5.308740139007568,8.0
2,1,-10.544412612915039,33.609344482421875,31.0
2,2,-7.59489631652832,44.58726119995117,43.0
2,3,-39.80516815185547,760.6663818359375,374.0
2,4,-12.139130592346191,20.796457290649414,110.0
2,5,-16.5422420501709,248.1616973876953,91.0
2,6,-13.388391494750977,807.7041015625,455.0
2,7,-13.731206893920898,15.583946228027344,55.0
4,0,-5.041718482971191,5.368630886077881,8.0
4,1,-10.530218124389648,33.45070266723633,32.0
4,2,-7.599940776824951,44.699859619140625,43.0
4,3,-39.56877899169922,731.2802124023438,393.0
4,4,-12.116435050964355,20.678794860839844,113.0
4,5,-16.615739822387695,254.3166046142578,83.0
4,6,-13.466249465942383,839.7672119140625,471.0
4,7,-13.69395923614502,15.468287467956543,55.0
6,0,-4.988874435424805,5.2748918533325195,9.0
6,1,-10.519613265991211,33.33266067504883,30.0
6,2,-7.549925804138184,43.595890045166016,41.0
6,3,-39.836971282958984,764.7090454101562,439.0
6,4,-11.972040176391602,19.945629119873047,109.0
6,5,-16.65052604675293,257.2826232910156,85.0
6,6,-13.417667388916016,819.6141967773438,478.0
6,7,-13.891218185424805,16.09073257446289,53.0
8,0,-4.937839031219482,5.185915470123291,8.0
8,1,-10.616692543029785,34.42893981933594,31.0
8,2,-7.561623573303223,43.85162353515625,43.0
8,3,-40.13779830932617,804.0270385742188,540.0
8,4,-11.614517211914062,18.240224838256836,103.0
8,5,-16.698944091796875,261.46875,85.0
8,6,-13.17483901977539,725.9052734375,483.0
8,7,-13.980388641357422,16.380271911621094,47.0
10,0,-4.771878242492676,4.906820297241211,7.0
10,1,-10.463825225830078,32.718536376953125,27.0
10,2,-7.493786811828613,42.389190673828125,42.0
10,3,-40.23578643798828,817.2659301757812,676.0
10,4,-11.481851577758789,17.645185470581055,97.0
10,5,-16.700532913208008,261.6072998046875,85.0
10,6,-13.29757308959961,771.84716796875,486.0
10,7,-13.85617733001709,15.978362083435059,38.0
12,0,-4.627444744110107,4.676179885864258,5.0
12,1,-10.209339141845703,30.057527542114258,27.0
12,2,-7.571377277374268,44.06600570678711,44.0
12,3,-40.056541442871094,793.2117919921875,769.0
12,4,-11.394956588745117,17.2659969329834,84.0
12,5,-16.578256607055664,251.15879821777344,78.0
12,6,-13.142321586608887,714.1983642578125,482.0
12,7,-13.32349967956543,14.363640785217285,33.0
14,0,-4.53007698059082,4.526846408843994,5.0
14,1,-9.86286449432373,26.779094696044922,22.0
14,2,-7.4120612144470215,40.69196319580078,42.0
14,3,-39.549293518066406,728.9090576171875,765.0
14,4,-11.247695922851562,16.64190673828125,85.0
14,5,-16.19107437133789,220.74862670898438,70.0
14,6,-13.556032180786133,878.324462890625,466.0
14,7,-12.906424522399902,13.214107513427734,31.0
16,0,-4.517215251922607,4.507480621337891,5.0
