step,loss,chunked_perplexity
1,2.2405,9.398029127448632
2,2.1894,8.929853594846671
3,2.232,9.318484423780736
4,2.301,9.984161626023544
5,2.2842,9.817828818419452
6,2.1879,8.916468855518534
7,2.2024,9.046699544677754
8,2.2439,9.430036808706037
9,2.2446,9.436640145370328
10,2.217,9.179750264871569
11,2.2789,9.765931973801875
12,2.2633,9.614765598380512
13,2.2242,9.246082977988793
14,2.1626,8.693711950237915
15,2.1567,8.642570066642115
16,2.1508,8.591729031783043
17,2.1709,8.766170044546909
18,1.9007,6.6905762068152805
19,2.1925,8.957579093309812
20,2.1575,8.649486889055499
21,2.2086,9.102963319324653
22,2.2142,9.154082915188816
23,2.197,8.997979030914447
24,2.0876,8.065534633849929
25,2.0678,7.907407671005977
26,2.2381,9.375500902226571
27,1.8465,6.3375990627608285
28,2.1534,8.614096592494214
29,2.0854,8.047809961943505
30,2.1761,8.811872853097167
31,2.182,8.864016575651815
32,2.1583,8.656409247140784
33,2.06,7.845969810318449
34,2.1399,8.498587727619006
35,2.2102,9.117539718645396
36,2.4269,11.323724068626783
37,2.1065,8.219422901719316
38,2.2316,9.314757775390587
39,2.1559,8.635658775473871
40,2.0821,8.021295961231719
41,2.0547,7.804496172546684
42,2.0648,7.8837209957708145
43,2.2478,9.466885761010946
44,2.1072,8.22517851197909
45,3.4044,30.096232565972695
46,2.1245,8.368712085820972
47,2.1108,8.254842517795563
48,2.2444,9.434753006061475
49,2.0677,7.906616969774595
50,2.0977,8.14740930473805
51,2.1658,8.72157638780113
52,2.1093,8.242469536075097
53,2.0923,8.103531870187862
54,1.307,3.695071852189992
55,2.104,8.19890000877021
56,2.2439,9.430036808706037
57,2.0729,7.947838461008916
58,2.1639,8.705021125144206
59,2.0824,8.023702711014502
60,2.1389,8.490093387769173
61,2.128,8.398053896336657
62,2.008,7.448405629313134
63,1.949,7.021662406181339
64,2.1347,8.454509773438536
65,2.0903,8.08734100271192
66,2.137,8.473977525249994
67,2.1245,8.368712085820972
68,2.0279,7.598113554740781
69,2.1757,8.808348808811774
70,2.0646,7.882144409235569
71,2.1691,8.75040513114531
72,2.001,7.396448850789447
73,2.1724,8.77932916648785
74,2.0644,7.880568137986102
75,2.1731,8.785476848342007
76,2.1262,8.382950996011326
77,2.0446,7.7260674927449635
78,2.1312,8.424970712742173
79,2.1024,8.18579225775331
80,2.1091,8.240821207006283
81,1.8912,6.627316691312729
82,2.1439,8.53265015797363
83,2.0676,7.905826347609387
84,2.1422,8.518156975400702
85,2.1389,8.490093387769173
86,2.0928,8.107584649233285
87,2.1642,8.707633023246878
88,2.0728,7.947043716900682
89,2.0981,8.150668920339603
90,1.9651,7.135626117093209
