step,corpus_perplexity,corpus_loss
1,3.7763593196868896,1.328760410233241
2,3.7782766819000244,1.3292679208250209
3,3.7778122425079346,1.3291451021136609
4,3.7775862216949463,1.329085190201346
5,3.7798759937286377,1.3296912298932524
6,3.780864953994751,1.329952869709565
7,3.78615665435791,1.3313514558146655
8,3.792895793914795,1.333129781197871
9,3.8003032207489014,1.335080862025422
10,3.8035800457000732,1.3359427205815129
11,3.8078713417053223,1.3370703706117806
12,3.81252121925354,1.3382907265915418
13,3.817452907562256,1.3395834033746956
14,3.8209147453308105,1.3404899142064224
15,3.8247392177581787,1.341490210129041
16,3.827644109725952,1.3422494677620032
17,3.827803373336792,1.3422910984907266
18,3.8299601078033447,1.3428544076651072
19,3.832042694091797,1.3433979673857637
20,3.8313474655151367,1.3432165813067267
21,3.833697557449341,1.3438297035548172
22,3.8338310718536377,1.3438645505187325
23,3.834489107131958,1.344036209571363
24,3.836294651031494,1.3445069385547
25,3.8366994857788086,1.3446124668002672
26,3.83752179145813,1.3448267839124715
27,3.8385846614837646,1.3451037175747278
28,3.8383920192718506,1.3450535202460772
29,3.8395462036132812,1.3453542109516352
30,3.8379364013671875,1.3449348614369747
31,3.8392720222473145,1.3452828223142952
32,3.838217258453369,1.3450080542653922
33,3.8390510082244873,1.3452251772657524
34,3.8393146991729736,1.3452938908723284
35,3.8391335010528564,1.3452466732527784
36,3.8379080295562744,1.344927463733068
37,3.837876558303833,1.344919183442042
38,3.8403148651123047,1.345554334384152
39,3.8409740924835205,1.34572596720703
40,3.839355945587158,1.3453046546460734
41,3.840052604675293,1.3454860715637762
42,3.8393919467926025,1.3453139972387453
43,3.8399064540863037,1.3454480492966716
44,3.8406999111175537,1.345654594436008
45,3.8409035205841064,1.345707631444894
46,3.840230703353882,1.345532424475614
47,3.8408446311950684,1.3456922363154213
48,3.8418259620666504,1.3459477243774693
49,3.840414524078369,1.345580397354419
50,3.8393847942352295,1.34531208343366
51,3.8413541316986084,1.3458249446895703
52,3.8406388759613037,1.3456387983840143
53,3.8407187461853027,1.3456595224574492
54,3.8407580852508545,1.3456697097328978
55,3.840837240219116,1.3456903654142904
56,3.841243267059326,1.3457960625540322
57,3.8414549827575684,1.3458512019692574
58,3.841765880584717,1.3459321031926963
59,3.839393377304077,1.3453144400719206
60,3.8414535522460938,1.3458507892661937
61,3.8411169052124023,1.3457631727097208
62,3.840650796890259,1.3456418177853982
63,3.841019868850708,1.3457379021812526
64,3.840820789337158,1.3456861341996877
65,3.842594861984253,1.3461478886942295
66,3.8418140411376953,1.345944653324466
67,3.8412013053894043,1.3457850920281242
68,3.840998888015747,1.3457324520745102
69,3.840848684310913,1.3456933576853298
70,3.8413312435150146,1.3458189545452774
