step,probe_index,log_prob,perplexity,target_rank
0,0,-14.777487754821777,11.738977432250977,9.0
0,1,-13.734502792358398,960.305419921875,1150.0
0,2,-25.65242576599121,5170.935546875,5118.0
0,3,-6.809134483337402,3.903317451477051,6.0
0,4,-5.927364349365234,7.212301731109619,6.0
0,5,-21.32990264892578,34.98725509643555,155.0
0,6,-19.31307601928711,47.589637756347656,76.0
0,7,-13.87524700164795,102.01118469238281,740.0
0,8,-52.41242218017578,1785.5625,1297.0
0,9,-10.115384101867676,157.2272186279297,60.0
0,10,-13.168087005615234,723.458740234375,496.0
0,11,-7.036274433135986,4.0847272872924805,7.0
0,12,-15.07744026184082,1879.423095703125,344.0
0,13,-12.17347526550293,57.848358154296875,48.0
0,14,-11.07451057434082,15.936748504638672,41.0
0,15,-15.55980110168457,2392.036865234375,1785.0
0,16,-25.3448486328125,23.76243782043457,85.0
0,17,-13.115368843078613,79.1852035522461,692.0
0,18,-30.075124740600586,1842.3204345703125,892.0
0,19,-15.355958938598633,167.11009216308594,1400.0
0,20,-10.84450626373291,37.145233154296875,182.0
0,21,-16.822978973388672,4498.45556640625,355.0
0,22,-13.853296279907227,101.26748657226562,93.0
0,23,-33.911766052246094,127.04460906982422,570.0
0,24,-9.346549987792969,107.0477523803711,175.0
0,25,-7.0931315422058105,34.693965911865234,6.0
2,0,-14.692829132080078,11.574505805969238,9.0
2,1,-13.72867202758789,957.5098876953125,1143.0
2,2,-25.564939498901367,5022.31640625,4930.0
2,3,-6.8579888343811035,3.941643238067627,6.0
2,4,-5.944371223449707,7.2533040046691895,6.0
2,5,-21.306047439575195,34.848426818847656,154.0
2,6,-19.39328956604004,48.35926818847656,76.0
2,7,-13.88926887512207,102.48910522460938,727.0
2,8,-52.28608703613281,1753.6259765625,1264.0
2,9,-10.108020782470703,156.64942932128906,60.0
2,10,-13.199764251708984,735.008544921875,504.0
2,11,-7.047682762145996,4.094058036804199,7.0
2,12,-15.136434555053711,1935.6864013671875,363.0
2,13,-12.202670097351074,58.4140739440918,49.0
2,14,-11.009313583374023,15.679096221923828,39.0
2,15,-15.602984428405762,2444.24658203125,1843.0
2,16,-25.372394561767578,23.844398498535156,85.0
2,17,-13.133612632751465,79.6682357788086,694.0
2,18,-29.991559982299805,1804.2314453125,878.0
2,19,-15.385907173156738,168.78671264648438,1396.0
2,20,-10.81091594696045,36.73164749145508,181.0
2,21,-16.819049835205078,4489.626953125,359.0
2,22,-13.92273235321045,103.63867950439453,95.0
2,23,-33.91157913208008,127.04120635986328,564.0
2,24,-9.294731140136719,104.30982208251953,171.0
2,25,-7.065764427185059,34.22246170043945,6.0
4,0,-13.669246673583984,9.759174346923828,7.0
4,1,-13.60098648071289,898.2902221679688,1092.0
4,2,-25.398061752319336,4750.57373046875,4890.0
4,3,-6.732276916503906,3.8437767028808594,6.0
4,4,-5.917760848999023,7.189250946044922,6.0
4,5,-20.650161743164062,31.239818572998047,154.0
4,6,-19.34869384765625,47.929866790771484,76.0
4,7,-13.80813980102539,99.75460052490234,717.0
4,8,-50.573516845703125,1373.0477294921875,906.0
4,9,-10.069707870483398,153.67715454101562,59.0
4,10,-13.28184986114502,765.802978515625,511.0
4,11,-6.96451997756958,4.02652645111084,7.0
4,12,-15.060379028320312,1863.4586181640625,339.0
4,13,-12.273564338684082,59.81089782714844,49.0
4,14,-11.040792465209961,15.802973747253418,39.0
4,15,-15.530423164367676,2357.1572265625,1815.0
4,16,-25.321189880371094,23.69226837158203,89.0
4,17,-13.131410598754883,79.60975646972656,678.0
4,18,-29.420345306396484,1564.132080078125,852.0
4,19,-15.261787414550781,161.94593811035156,1311.0
4,20,-10.876968383789062,37.549354553222656,181.0
4,21,-16.6507625579834,4127.310546875,336.0
4,22,-13.69238567352295,95.9789047241211,96.0
4,23,-32.99957275390625,111.52233123779297,410.0
4,24,-9.342988014221191,106.8572769165039,172.0
4,25,-7.120238780975342,35.167396545410156,6.0
6,0,-11.410541534423828,6.697651386260986,4.0
6,1,-13.53076171875,867.2964477539062,1119.0
6,2,-24.913772583007812,4042.389404296875,4445.0
6,3,-6.717427730560303,3.832378387451172,6.0
6,4,-5.904796600341797,7.158249855041504,6.0
6,5,-18.315349578857422,21.169431686401367,150.0
6,6,-19.337059020996094,47.81846618652344,72.0
6,7,-13.74803352355957,97.77587127685547,717.0
6,8,-44.966705322265625,616.3501586914062,346.0
6,9,-9.98528003692627,147.32484436035156,58.0
6,10,-13.346458435058594,790.945556640625,532.0
6,11,-6.835151195526123,3.9236807823181152,7.0
6,12,-14.891838073730469,1712.858642578125,313.0
6,13,-12.529977798461914,65.14784240722656,60.0
6,14,-11.073003768920898,15.930746078491211,42.0
6,15,-15.38311767578125,2189.785400390625,1775.0
6,16,-25.132776260375977,23.14079475402832,87.0
6,17,-13.076671600341797,78.17035675048828,696.0
6,18,-27.100969314575195,875.8916015625,789.0
6,19,-15.008448600769043,148.8317108154297,1144.0
6,20,-10.992362022399902,39.02180862426758,176.0
6,21,-16.530719757080078,3886.871337890625,339.0
6,22,-13.6349458694458,94.15873718261719,103.0
6,23,-30.711069107055664,80.42264556884766,150.0
6,24,-9.474008560180664,114.09190368652344,192.0
6,25,-7.23455810546875,37.23611068725586,7.0
8,0,-8.500250816345215,4.123525142669678,4.0
8,1,-13.37243938446045,801.2874145507812,1152.0
8,2,-24.11392593383789,3096.337646484375,3695.0
8,3,-6.751256942749023,3.858395576477051,6.0
8,4,-5.896031379699707,7.13736629486084,6.0
8,5,-12.518783569335938,8.056377410888672,133.0
8,6,-19.417449951171875,48.5935173034668,69.0
8,7,-13.624011993408203,93.81619262695312,668.0
8,8,-28.05231285095215,55.00771713256836,216.0
8,9,-9.957233428955078,145.27328491210938,57.0
8,10,-13.463491439819336,838.6099853515625,552.0
8,11,-6.82424259185791,3.9151296615600586,7.0
8,12,-14.606250762939453,1484.9337158203125,281.0
8,13,-12.677417755126953,68.42961883544922,62.0
8,14,-11.56692886352539,18.024505615234375,50.0
8,15,-14.948729515075684,1762.28173828125,1681.0
8,16,-25.330209732055664,23.718996047973633,93.0
8,17,-13.052353858947754,77.53929138183594,716.0
8,18,-19.54876708984375,132.5807342529297,715.0
8,19,-14.776810646057129,137.77244567871094,990.0
8,20,-11.200723648071289,41.82836151123047,152.0
8,21,-16.329185485839844,3514.2900390625,361.0
8,22,-13.478487014770508,89.37390899658203,113.0
8,23,-23.913841247558594,30.455392837524414,120.0
8,24,-9.585636138916016,120.640869140625,189.0
