step,probe_index,log_prob,perplexity,target_rank
0,0,-10.378873825073242,179.36752319335938,80.0
0,1,-2.935116767883301,2.660122871398926,3.0
0,2,-12.465389251708984,12.098454475402832,14.0
0,3,-38.335533142089844,2136.889892578125,3836.0
0,4,-19.170095443725586,120.60537719726562,175.0
0,5,-18.26775550842285,441.09136962890625,139.0
0,6,-16.25820541381836,25.83269691467285,125.0
0,7,-23.145389556884766,325.82073974609375,653.0
0,8,-13.704665184020996,15.501440048217773,57.0
0,9,-10.122308731079102,29.198078155517578,118.0
0,10,-8.213651657104492,60.75356674194336,78.0
0,11,-13.42212200164795,28.66080665588379,18.0
0,12,-24.42157745361328,132.199951171875,2114.0
0,13,-6.809056282043457,30.10009002685547,12.0
0,14,-24.760971069335938,15.661711692810059,16.0
0,15,-13.902105331420898,102.92855834960938,143.0
0,16,-3.5315253734588623,5.846029758453369,7.0
0,17,-27.140056610107422,227.69601440429688,2735.0
0,18,-6.923826217651367,31.87790298461914,5.0
0,19,-46.2415771484375,323.8230285644531,2411.0
0,20,-32.108421325683594,615.0381469726562,7309.0
0,21,-39.57598114013672,2738.58447265625,26766.0
0,22,-7.277061462402344,3.3630337715148926,3.0
0,23,-37.55112838745117,1826.6259765625,33743.0
0,24,-7.3284687995910645,39.0262451171875,15.0
0,25,-26.32305908203125,193.37123107910156,1020.0
0,26,-10.047985076904297,5.337002277374268,2.0
2,0,-10.351606369018555,176.9386749267578,79.0
2,1,-2.953953742980957,2.6768782138824463,3.0
2,2,-12.515202522277832,12.219592094421387,14.0
2,3,-38.45775604248047,2189.768798828125,3867.0
2,4,-19.175968170166016,120.78258514404297,179.0
2,5,-18.285018920898438,443.63690185546875,136.0
2,6,-16.208208084106445,25.57567024230957,124.0
2,7,-23.088808059692383,321.2443542480469,654.0
2,8,-13.682361602783203,15.432449340820312,54.0
2,9,-10.115998268127441,29.136728286743164,119.0
2,10,-8.250059127807617,61.86963653564453,85.0
2,11,-13.402528762817383,28.5207576751709,16.0
2,12,-24.371875762939453,130.89236450195312,2054.0
2,13,-6.775343894958496,29.596969604492188,11.0
2,14,-24.759151458740234,15.658547401428223,16.0
2,15,-13.933837890625,104.02308654785156,143.0
2,16,-3.5678694248199463,5.953234672546387,7.0
2,17,-27.096477508544922,225.7200164794922,2829.0
2,18,-6.903502941131592,31.555612564086914,4.0
2,19,-46.250396728515625,324.18023681640625,2416.0
2,20,-32.094703674316406,613.3529663085938,7392.0
2,21,-39.645050048828125,2776.676025390625,26888.0
2,22,-7.282200813293457,3.3659162521362305,3.0
2,23,-37.614601135253906,1849.96142578125,33933.0
2,24,-7.325800895690918,38.974220275878906,15.0
2,25,-26.330707550048828,193.667236328125,1005.0
2,26,-10.024453163146973,5.316112041473389,2.0
4,0,-10.346717834472656,176.5067138671875,80.0
4,1,-2.961223602294922,2.683372974395752,3.0
4,2,-12.56126594543457,12.332687377929688,14.0
4,3,-38.36573791503906,2149.837890625,3983.0
4,4,-19.141002655029297,119.73137664794922,175.0
4,5,-18.292579650878906,444.7563171386719,142.0
4,6,-16.15094757080078,25.28445053100586,124.0
4,7,-23.257648468017578,335.0943298339844,711.0
4,8,-13.724130630493164,15.561907768249512,58.0
4,9,-10.075278282165527,28.743915557861328,120.0
4,10,-8.219348907470703,60.9268798828125,78.0
4,11,-13.41093635559082,28.58077049255371,17.0
4,12,-23.934864044189453,119.9377670288086,1736.0
4,13,-6.778815269470215,29.64838409423828,11.0
4,14,-24.561851501464844,15.319009780883789,16.0
4,15,-13.87677001953125,102.06295776367188,138.0
4,16,-3.5519156455993652,5.905935287475586,7.0
4,17,-27.058979034423828,224.03350830078125,2753.0
4,18,-6.8348283767700195,30.490468978881836,4.0
4,19,-45.567626953125,297.6604309082031,1813.0
4,20,-32.006370544433594,602.6123657226562,7166.0
4,21,-39.57097625732422,2735.843505859375,26717.0
4,22,-7.308409214019775,3.380650758743286,3.0
4,23,-37.329654693603516,1747.4815673828125,31601.0
