step,corpus_perplexity,corpus_loss
1,6.7266435623168945,1.9060763120651245
2,6.570709228515625,1.8826217651367188
3,6.134324550628662,1.8138999938964844
4,5.653382301330566,1.7322540283203125
5,5.204333782196045,1.6494916677474976
6,4.981389999389648,1.6057089567184448
7,4.881577491760254,1.5854684114456177
8,4.736965179443359,1.5553966760635376
9,4.589963436126709,1.5238720178604126
10,4.481350421905518,1.4999244213104248
11,4.381258487701416,1.477336049079895
12,4.192451000213623,1.4332854747772217
13,4.0238447189331055,1.392237901687622
14,3.8849575519561768,1.3571120500564575
15,3.7893528938293457,1.3321952819824219
16,3.66121244430542,1.2977943420410156
17,3.56325626373291,1.2706748247146606
18,3.486210823059082,1.2488154172897339
19,3.426105260848999,1.23142409324646
20,3.333179235458374,1.2039265632629395
21,3.2564122676849365,1.1806260347366333
22,3.193709135055542,1.1611829996109009
23,3.1433913707733154,1.1453022956848145
24,3.0357589721679688,1.1104614734649658
25,2.950045585632324,1.0818206071853638
26,2.8777072429656982,1.056993842124939
27,2.818772077560425,1.0363013744354248
28,2.7400829792022705,1.0079882144927979
29,2.678632974624634,0.9853066205978394
30,2.6224687099456787,0.9641161561012268
31,2.5664989948272705,0.9425427317619324
32,2.4872045516967773,0.9111593961715698
33,2.4246695041656494,0.8856952786445618
34,2.378704786300659,0.8665561079978943
35,2.3660573959350586,0.8612250089645386
36,2.306929111480713,0.8359172940254211
37,2.2519774436950684,0.811808705329895
38,2.225606679916382,0.8000295758247375
39,2.2264750003814697,0.8004195690155029
40,2.1593873500823975,0.7698245644569397
41,2.1195483207702637,0.7512030005455017
42,2.109687566757202,0.746539831161499
43,2.075991630554199,0.7304388880729675
44,2.04298996925354,0.7144144177436829
45,2.013862133026123,0.7000543475151062
46,1.9893397092819214,0.687802791595459
47,1.9630881547927856,0.6745188236236572
48,1.9462857246398926,0.6659228205680847
49,1.9411845207214355,0.6632983684539795
50,1.9412187337875366,0.663316011428833
51,1.9041030406951904,0.6440110802650452
52,1.8754760026931763,0.6288625001907349
53,1.8537087440490723,0.6171883344650269
54,1.8378376960754395,0.6085897088050842
55,1.8234783411026,0.6007458567619324
56,1.8114614486694336,0.5941339731216431
57,1.8010185956954956,0.588352382183075
58,1.7939908504486084,0.584442675113678
59,1.7855000495910645,0.5796985030174255
60,1.7776002883911133,0.5752642750740051
61,1.7705575227737427,0.5712944865226746
62,1.7646886110305786,0.5679742693901062
63,1.7529712915420532,0.561312198638916
64,1.7454403638839722,0.5570068955421448
65,1.7380374670028687,0.5527566075325012
66,1.7326101064682007,0.5496290326118469
67,1.7268770933151245,0.5463145971298218
68,1.7225801944732666,0.5438233017921448
69,1.719068169593811,0.5417823791503906
70,1.7157793045043945,0.5398674011230469
71,1.7101454734802246,0.5365784168243408
72,1.7050917148590088,0.5336189270019531
73,1.7010947465896606,0.5312719941139221
74,1.6985005140304565,0.5297458171844482
75,1.6952943801879883,0.5278564095497131
76,1.6930360794067383,0.5265234112739563
77,1.6917814016342163,0.52578204870224
78,1.6895287036895752,0.5244496464729309
79,1.688140869140625,0.5236278772354126
80,1.6873019933700562,0.5231307744979858
81,1.6861542463302612,0.52245032787323
82,1.6841336488723755,0.5212512612342834
83,1.6818196773529053,0.5198763608932495
84,1.6810081005096436,0.5193936824798584
85,1.679903268814087,0.5187362432479858
86,1.679148554801941,0.5182868838310242
87,1.6781171560287476,0.5176724195480347
88,1.677161693572998,0.5171028971672058
89,1.6772427558898926,0.5171512365341187
90,1.6769483089447021,0.5169756412506104
91,1.6765875816345215,0.516760528087616
92,1.6759464740753174,0.5163780450820923
93,1.675105094909668,0.5158759355545044
94,1.6749179363250732,0.5157641768455505
95,1.67536461353302,0.5160308480262756
96,1.6734554767608643,0.5148906111717224
97,1.6724597215652466,0.5142953991889954
98,1.6729471683502197,0.514586865901947
99,1.6720972061157227,0.514078676700592
100,1.6719671487808228,0.5140008330345154
