step,probe_index,log_prob,perplexity,target_rank
0,0,-27.70384407043457,31.91194725036621,595.0
0,1,-36.103294372558594,410.43426513671875,2840.0
0,2,-12.303196907043457,60.40462112426758,533.0
0,3,-9.440183639526367,3.852019786834717,4.0
0,4,-7.363470077514648,4.360967636108398,22.0
0,5,-14.067119598388672,108.74870300292969,213.0
0,6,-11.815088272094727,10.622958183288574,131.0
2,0,-27.640151977539062,31.658891677856445,598.0
2,1,-36.15018844604492,413.6546936035156,2930.0
2,2,-12.29499626159668,60.23971939086914,528.0
2,3,-9.490490913391113,3.879802942276001,4.0
2,4,-7.4141950607299805,4.405434608459473,22.0
2,5,-14.061095237731934,108.53055572509766,213.0
2,6,-11.73768424987793,10.459774017333984,124.0
4,0,-26.709272384643555,28.181312561035156,632.0
4,1,-36.05561828613281,407.18585205078125,2855.0
4,2,-12.302263259887695,60.38581848144531,541.0
4,3,-9.596575736999512,3.939049005508423,4.0
4,4,-7.495082855224609,4.477283477783203,23.0
4,5,-13.994062423706055,106.13243103027344,200.0
4,6,-11.776032447814941,10.540305137634277,125.0
6,0,-25.72840118408203,24.929458618164062,934.0
6,1,-35.91535949707031,397.7776794433594,2949.0
6,2,-12.217586517333984,58.705230712890625,537.0
6,3,-10.140522003173828,4.257346153259277,5.0
6,4,-7.8811516761779785,4.83668851852417,28.0
6,5,-13.91352653503418,103.32115936279297,181.0
6,6,-11.883528709411621,10.769366264343262,112.0
8,0,-25.684173583984375,24.792016983032227,1070.0
8,1,-35.735713958740234,386.0443115234375,3043.0
8,2,-12.243364334106445,59.21183395385742,581.0
8,3,-10.765684127807617,4.655060768127441,7.0
8,4,-8.16618824005127,5.120426177978516,37.0
8,5,-13.788487434387207,99.10325622558594,161.0
8,6,-11.967243194580078,10.95119571685791,106.0
10,0,-25.457462310791016,24.09929847717285,973.0
10,1,-35.64474868774414,380.2358093261719,3037.0
10,2,-12.360021591186523,61.55967712402344,632.0
10,3,-10.852654457092285,4.7132568359375,7.0
10,4,-7.917952060699463,4.872418403625488,34.0
10,5,-13.726999282836914,97.09272003173828,143.0
10,6,-11.863643646240234,10.72662353515625,101.0
12,0,-25.219467163085938,23.392919540405273,922.0
12,1,-35.08046340942383,346.10565185546875,2952.0
12,2,-12.25182056427002,59.37896728515625,606.0
12,3,-10.493705749511719,4.4776611328125,7.0
12,4,-7.599898815155029,4.572132587432861,28.0
12,5,-13.741362571716309,97.5587158203125,151.0
12,6,-11.575352668762207,10.125638961791992,89.0
14,0,-25.40133285522461,23.93080711364746,859.0
14,1,-34.716365814208984,325.7273864746094,2714.0
14,2,-12.203923225402832,58.438480377197266,639.0
14,3,-10.35241985321045,4.388191223144531,7.0
14,4,-7.452604293823242,4.4394073486328125,24.0
14,5,-13.76562213897705,98.35079193115234,151.0
14,6,-11.409196853637695,9.794679641723633,69.0
16,0,-25.58225440979004,24.478174209594727,918.0
16,1,-34.903594970703125,336.0520324707031,2527.0
16,2,-12.329965591430664,60.94602966308594,743.0
16,3,-10.225953102111816,4.3096232414245605,8.0
