step,probe_index,log_prob,perplexity,target_rank
0,0,-16.303504943847656,229.17861938476562,712.0
0,1,-7.080246448516846,34.471168518066406,8.0
0,2,-8.51201343536377,8.398082733154297,16.0
0,3,-10.23900032043457,167.2517547607422,152.0
0,4,-23.463661193847656,13.55931282043457,525.0
0,5,-14.346220016479492,17.62369155883789,860.0
0,6,-23.760129928588867,29.79391860961914,129.0
0,7,-4.783368110656738,2.6030232906341553,13.0
2,0,-16.30016326904297,228.92347717285156,717.0
2,1,-7.1038818359375,34.880950927734375,8.0
2,2,-8.492433547973633,8.357074737548828,16.0
2,3,-10.272415161132812,170.06956481933594,152.0
2,4,-23.39923858642578,13.462600708007812,522.0
2,5,-14.412425994873047,17.858600616455078,869.0
2,6,-23.70699119567871,29.568601608276367,126.0
2,7,-4.8053131103515625,2.614473342895508,13.0
4,0,-16.27655029296875,227.12864685058594,706.0
4,1,-7.096930027008057,34.75992202758789,8.0
4,2,-8.534646034240723,8.445734977722168,15.0
4,3,-10.321386337280273,174.28521728515625,159.0
4,4,-23.25126075744629,13.243057250976562,505.0
4,5,-14.317095756530762,17.521331787109375,880.0
4,6,-23.680320739746094,29.456151962280273,127.0
4,7,-4.789968490600586,2.606461763381958,13.0
6,0,-16.368511199951172,234.1988525390625,718.0
6,1,-7.085290908813477,34.558223724365234,8.0
6,2,-8.508801460266113,8.391341209411621,15.0
6,3,-10.443799018859863,185.2858123779297,161.0
6,4,-23.09912872314453,13.021082878112793,518.0
6,5,-14.240289688110352,17.254241943359375,903.0
6,6,-23.554866790771484,28.932947158813477,129.0
6,7,-4.773320198059082,2.5977976322174072,12.0
8,0,-16.549686431884766,248.77825927734375,740.0
8,1,-7.007375240325928,33.23779296875,7.0
8,2,-8.475597381591797,8.321972846984863,14.0
8,3,-10.551173210144043,195.505126953125,174.0
8,4,-22.567760467529297,12.274561882019043,468.0
8,5,-13.842512130737305,15.93475341796875,870.0
8,6,-23.148128509521484,27.299692153930664,116.0
8,7,-4.831453800201416,2.6281778812408447,13.0
10,0,-16.839670181274414,274.0261535644531,787.0
10,1,-7.004603862762451,33.191768646240234,7.0
10,2,-8.537450790405273,8.451659202575684,12.0
10,3,-10.633667945861816,203.73782348632812,183.0
10,4,-24.857891082763672,15.831283569335938,456.0
10,5,-13.370783805847168,14.500116348266602,843.0
10,6,-22.56827735900879,25.129426956176758,97.0
10,7,-4.766368865966797,2.594188690185547,13.0
12,0,-16.97372817993164,286.5489501953125,876.0
12,1,-6.755331039428711,29.30228614807129,7.0
12,2,-8.630785942077637,8.6511869430542,12.0
12,3,-10.598492622375488,200.1858673095703,179.0
12,4,-25.012054443359375,16.104795455932617,432.0
12,5,-13.300731658935547,14.298380851745605,880.0
12,6,-22.388484954833984,24.492206573486328,76.0
12,7,-4.5424628257751465,2.4805803298950195,10.0
14,0,-16.9013614654541,279.7194519042969,891.0
