step,corpus_perplexity,corpus_loss
1,4.782381057739258,1.564938496038816
2,4.6940836906433105,1.5463029419683163
3,4.3438873291015625,1.4687696488456399
4,4.200883388519287,1.435294911776923
5,3.9868686199188232,1.3830060825958714
6,3.8739752769470215,1.3542812201873737
7,3.757627248764038,1.3237877104391245
8,3.6875224113464355,1.3049548101112611
9,3.611668348312378,1.2841698009098204
10,3.56390118598938,1.2708558125729534
11,3.5191125869750977,1.258208851869365
12,3.4957637786865234,1.2515518309513525
13,3.4767682552337646,1.2461031304837704
14,3.4680840969085693,1.2436022388380166
15,3.4624478816986084,1.241975761243945
16,3.4610674381256104,1.2415770346714965
17,3.459963798522949,1.2412580948791931
18,3.4596168994903564,1.2411578894389919
19,3.459317207336426,1.2410712233186763
