step,loss,chunked_perplexity
1,1.6578,5.247753078792966
2,1.7557,5.787497572651519
3,1.8022,6.062971339723534
4,1.7677,5.857365915160292
5,1.7087,5.521778497651678
6,1.7108,5.533386416545675
7,1.7274,5.626007257163997
8,1.6347,5.1279193904305815
9,1.634,5.124331102904436
10,1.6035,4.970398410628632
11,1.4928,4.449536796116533
12,1.4972,4.46915789277674
13,1.4178,4.128028779776331
14,1.4094,4.093498567953274
15,1.2906,3.6349668817186407
16,1.2281,3.4147353715808575
17,1.2478,3.4826726433945923
18,1.2412,3.459762689957601
19,1.1875,3.2788737679386735
20,1.14,3.1267683651861553
21,1.1385,3.12208172849464
22,1.1398,3.126143074044317
23,1.1164,3.0538405646055122
24,1.1026,3.0119870184957818
25,1.0593,2.8843512365713875
26,1.0312,2.8044291312750675
27,1.0125,2.752473604712104
28,0.9812,2.66765550859582
29,0.9684,2.6337271229879775
30,0.9776,2.6580692144475377
31,0.9756,2.6527583886147506
32,0.8898,2.434642674058963
33,0.8989,2.4568990352490876
34,0.8153,2.259853526724479
35,0.7719,2.1638737105153405
36,0.7745,2.1695071023986516
37,0.8072,2.2416226478944927
38,0.8115,2.2512823788178937
39,0.7812,2.1840916035052826
40,0.8062,2.239382145684412
41,0.8277,2.2880501683418477
42,0.7743,2.1690732443654213
43,0.7516,2.1203899278450598
44,0.7467,2.1100254309536255
45,0.7608,2.1399875259041092
46,0.7232,2.061017926844913
47,0.7138,2.0417351294657085
48,0.7125,2.0390825983162153
49,0.6841,1.981987244071796
50,0.7466,2.109814438960306
51,0.7769,2.174720172626408
52,0.7254,2.065557157606987
53,0.7052,2.0242514947389645
54,0.6407,1.8978088806667148
55,0.6674,1.9491629032035362
56,0.6682,1.95072285742459
57,0.6118,1.843747158588015
58,0.6502,1.9159239754930697
59,0.6508,1.9170738748136646
60,0.6289,1.8755463431651507
61,0.6883,1.9903290961236875
62,0.6508,1.9170738748136646
63,0.5776,1.781757078194389
64,0.5965,1.8157525320576224
65,0.6665,1.947409445764859
66,0.6037,1.8288731277520127
67,0.5728,1.773225137258622
68,0.61,1.8404313987816374
69,0.6268,1.871611828530804
70,0.5846,1.7942731328257784
71,0.6408,1.897998671044142
72,0.5898,1.8036276537921405
73,0.5973,1.817205715279054
74,0.5741,1.7755318289618065
75,0.6188,1.8566986660891058
76,0.6024,1.8264971374142733
77,0.5613,1.7529498545059952
78,0.5711,1.770213215384247
79,0.6209,1.8606018301757712
80,0.6034,1.8283245481047485
81,0.7182,2.050738557050519
82,0.6302,1.877986138934911
83,0.6175,1.8542865260539227
84,0.5629,1.7557568192461777
85,0.6213,1.8613462197758364
86,0.5887,1.801644754167705
87,0.5732,1.773934569190453
88,0.556,1.743683797019738
89,0.5494,1.7322133779798303
90,0.5492,1.7318669699461924
91,0.6299,1.8774228275941567
92,0.5465,1.7271972361048864
93,0.5501,1.733426351835736
94,0.5141,1.6721329047662037
95,0.61,1.8404313987816374
96,0.6544,1.9239877783222952
97,0.4931,1.6373842516276846
98,0.5494,1.7322133779798303
99,0.5993,1.8208437635451955
100,0.6639,1.9423527577488917
