step,loss,chunked_perplexity
1,1.7197,5.5828533570154235
2,2.0201,7.5390788038481675
3,1.9417,6.970590908382988
4,1.9909,7.3221207063758555
5,2.0019,7.403108651215813
6,1.8264,6.211485013708469
7,1.8431,6.316087815789789
8,1.8659,6.461748843727222
9,1.8946,6.649887917403938
10,1.9396,6.955968026874875
11,1.9567,7.075937899191124
12,1.873,6.507790515037613
13,1.843,6.315456238587597
14,1.933,6.9102098061281865
15,1.8445,6.324936531387523
16,1.8312,6.241371812709239
17,1.9043,6.714705688166414
18,1.8302,6.235133560542468
19,1.7984,6.0399757678903985
20,1.9379,6.944152926909628
21,1.9478,7.013241464869222
22,1.7491,5.749425863512383
23,1.8552,6.392976718113511
24,1.8672,6.470154579768687
25,1.8403,6.298427505877523
26,1.98,7.242742985161012
27,1.8973,6.667866875452077
28,1.7559,5.788655187923718
29,1.8923,6.634610750670337
30,1.7731,5.8890812454256585
31,1.7236,5.604668997956301
32,1.8098,6.1092254649449655
33,1.7588,5.8054666528107495
34,1.7502,5.755753711640658
35,1.9171,6.801206344154201
36,1.7152,5.557786958604812
37,1.6685,5.304205518687193
38,1.8254,6.205276633402278
39,1.5436,4.6814130588131615
40,1.7731,5.8890812454256585
41,1.6334,5.121257426437843
42,1.6967,5.455913138218872
43,1.7877,5.975692555673575
44,1.9443,6.988738025774517
45,1.7809,5.9351956916803665
46,1.7872,5.972705456232829
47,1.8644,6.45206348629571
48,1.8319,6.245742302471091
49,1.784,5.9536233464319634
50,1.8864,6.595581795874457
51,1.8535,6.382117890311517
52,1.7429,5.713889699102383
53,1.7668,5.8520966573583335
54,1.7338,5.6621291704362715
55,1.6186,5.0460209398390505
56,1.6315,5.111536275345595
57,1.8925,6.635937805521532
58,1.5797,4.853499542945229
59,1.6026,4.965927064466656
60,1.6026,4.965927064466656
61,1.6013,4.959475553673451
62,1.3119,3.7132221361457365
63,1.7659,5.846832139754988
64,1.6442,5.176866756504094
65,1.4801,4.393384997452309
66,1.2453,3.473976836074322
67,1.5922,4.914549051748656
68,1.7665,5.850341291679143
69,1.695,5.446645965212798
70,1.4661,4.332306156989022
71,1.7232,5.602427578670861
72,1.7821,5.942322201561131
73,1.6239,5.072835847556447
74,1.7076,5.5157078807556745
75,1.7887,5.9816712370717235
76,1.6385,5.147442554633335
77,1.829,6.2276558877708
78,1.7834,5.950052243862009
79,1.8736,6.511696360983243
80,1.7163,5.563903887953628
81,1.7898,5.988254695670901
82,1.4439,4.237188670843153
83,1.654,5.227849457923889
84,1.7342,5.664394475135182
85,1.7519,5.765546814729568
86,1.7252,5.613643646157
87,1.7686,5.862639917428962
88,1.6202,5.054101035695725
89,1.6361,5.135103505284177
90,1.6003,4.954518557031183
91,1.5727,4.8196436799098965
92,1.7761,5.906775016548294
93,1.6899,5.418938784157193
94,1.8424,6.3116681013992455
95,1.7838,5.952432740827207
96,1.6917,5.4287016579190865
97,1.663,5.275112467563699
98,1.7958,6.0242922283303715
99,1.8581,6.4115432590683765
100,1.6593,5.255630615086338
