step,probe_index,log_prob,perplexity,target_rank
0,0,-11.80950927734375,51.23911666870117,185.0
0,1,-12.157986640930176,5.679454803466797,298.0
0,2,-20.600404739379883,172.44894409179688,1288.0
0,3,-27.415807723999023,96.4766616821289,944.0
0,4,-6.861561298370361,30.9007568359375,14.0
0,5,-10.388175964355469,31.90380859375,148.0
2,0,-11.791672706604004,50.935367584228516,184.0
2,1,-12.168790817260742,5.688227653503418,292.0
2,2,-20.52029037475586,169.02938842773438,1233.0
2,3,-27.234785079956055,93.60938262939453,916.0
2,4,-6.868240833282471,31.004131317138672,14.0
2,5,-10.380987167358398,31.82744789123535,149.0
4,0,-11.812642097473145,51.29265213012695,186.0
4,1,-12.132170677185059,5.658547878265381,295.0
4,2,-19.36202621459961,126.53343963623047,774.0
4,3,-27.001155853271484,90.03447723388672,882.0
4,4,-6.872719764709473,31.073638916015625,14.0
4,5,-10.36510181427002,31.659364700317383,151.0
6,0,-11.796606063842773,51.019203186035156,185.0
6,1,-11.924436569213867,5.49308967590332,280.0
6,2,-15.990300178527832,54.465911865234375,189.0
6,3,-26.725311279296875,85.98892211914062,894.0
6,4,-6.714188575744629,28.705659866333008,11.0
6,5,-10.237401962280273,30.340009689331055,144.0
8,0,-11.743102073669434,50.11735916137695,179.0
8,1,-11.50126838684082,5.170856952667236,267.0
8,2,-8.011682510375977,7.41066837310791,6.0
8,3,-25.893484115600586,74.85709381103516,809.0
8,4,-6.596329689025879,27.062929153442383,9.0
8,5,-10.056224822998047,28.561935424804688,139.0
10,0,-11.693410873413086,49.2940559387207,166.0
10,1,-11.084418296813965,4.871921062469482,257.0
10,2,-3.3313305377960205,2.2998239994049072,2.0
10,3,-25.151615142822266,66.1507339477539,744.0
10,4,-6.5631103515625,26.61713409423828,9.0
10,5,-9.932263374328613,27.405797958374023,139.0
12,0,-11.471996307373047,45.78693389892578,154.0
12,1,-10.930693626403809,4.766096591949463,258.0
12,2,-1.8497586250305176,1.5879433155059814,1.0
12,3,-24.78322982788086,62.21141052246094,683.0
12,4,-6.852359294891357,30.758909225463867,9.0
12,5,-9.782873153686523,26.07449722290039,135.0
14,0,-11.513778686523438,46.4290885925293,150.0
14,1,-10.621326446533203,4.560044288635254,274.0
14,2,-1.3294073343276978,1.3942432403564453,1.0
14,3,-24.722190856933594,61.58172607421875,664.0
14,4,-6.898796558380127,31.481441497802734,9.0
14,5,-9.791033744812012,26.145519256591797,127.0
16,0,-11.972362518310547,54.097476959228516,167.0
16,1,-10.032370567321777,4.192075252532959,249.0
16,2,-0.918144702911377,1.2580163478851318,1.0
16,3,-25.26547622680664,67.41804504394531,735.0
16,4,-7.3351054191589355,39.15596389770508,9.0
16,5,-9.565727233886719,24.25385856628418,121.0
18,0,-12.421415328979492,62.83246612548828,183.0
18,1,-10.133018493652344,4.252784729003906,265.0
18,2,-0.6834548115730286,1.1863291263580322,1.0
18,3,-25.956933975219727,75.65289306640625,791.0
18,4,-7.5272216796875,43.103790283203125,11.0
18,5,-9.44888973236084,23.327428817749023,121.0
20,0,-12.530879974365234,65.16744232177734,182.0
20,1,-10.091324806213379,4.227530002593994,277.0
20,2,-0.5735005140304565,1.1541626453399658,1.0
20,3,-27.0107364654541,90.17837524414062,905.0
20,4,-7.479000091552734,42.07695007324219,11.0
20,5,-9.331657409667969,22.43343734741211,123.0
22,0,-12.688238143920898,68.6768798828125,188.0
22,1,-9.834184646606445,4.075051784515381,256.0
22,2,-0.5192655324935913,1.138619303703308,1.0
22,3,-27.751577377319336,102.02957916259766,1035.0
22,4,-7.5468244552612305,43.52833938598633,11.0
22,5,-9.158373832702637,21.174367904663086,116.0
24,0,-12.681661605834961,68.52649688720703,179.0
24,1,-8.755825996398926,3.4932491779327393,152.0
24,2,-0.6061508059501648,1.1636221408843994,1.0
24,3,-28.56497573852539,116.84280395507812,1248.0
24,4,-7.651319980621338,45.863059997558594,10.0
24,5,-8.981179237365723,19.959924697875977,103.0
26,0,-12.715465545654297,69.30303955078125,188.0
26,1,-8.499719619750977,3.3677525520324707,137.0
26,2,-0.6401480436325073,1.1735543012619019,1.0
26,3,-29.15532684326172,128.92373657226562,1396.0
26,4,-7.3778886795043945,40.002593994140625,9.0
26,5,-8.862371444702148,19.184904098510742,95.0
28,0,-12.800695419311523,71.30016326904297,192.0
28,1,-9.519474983215332,3.8959012031555176,241.0
28,2,-0.5127331614494324,1.1367613077163696,1.0
28,3,-29.63254165649414,139.59661865234375,1368.0
28,4,-6.905693054199219,31.590187072753906,7.0
28,5,-8.867419242858887,19.217214584350586,102.0
30,0,-12.843860626220703,72.33345031738281,199.0
30,1,-9.832803726196289,4.07424783706665,275.0
30,2,-0.4702792465686798,1.1247601509094238,1.0
30,3,-30.061094284057617,149.9320831298828,1313.0
30,4,-6.676839828491211,28.17457389831543,7.0
30,5,-8.924609184265137,19.58707046508789,106.0
32,0,-12.584447860717773,66.3415298461914,192.0
32,1,-8.783882141113281,3.5072779655456543,156.0
32,2,-0.4400274157524109,1.1162856817245483,1.0
32,3,-30.38936424255371,158.36367797851562,1422.0
32,4,-6.758857727050781,29.354000091552734,8.0
32,5,-8.876038551330566,19.272502899169922,88.0
34,0,-12.567523956298828,65.96832275390625,187.0
34,1,-8.2259521484375,3.2385833263397217,113.0
34,2,-0.44575774669647217,1.117885947227478,1.0
34,3,-30.551342010498047,162.69712829589844,1532.0
34,4,-6.913232803344727,31.709503173828125,8.0
34,5,-8.875282287597656,19.26764678955078,84.0
36,0,-12.499929428100586,64.49857330322266,186.0
36,1,-8.423552513122559,3.3313066959381104,134.0
36,2,-0.42815715074539185,1.1129779815673828,1.0
36,3,-30.752958297729492,168.257080078125,1560.0
36,4,-6.98249626159668,32.82689666748047,8.0
36,5,-8.88150691986084,19.307668685913086,84.0
38,0,-12.553537368774414,65.66149139404297,192.0
38,1,-8.544071197509766,3.3891584873199463,143.0
38,2,-0.4208557903766632,1.1109482049942017,1.0
38,3,-30.714801788330078,167.1904296875,1605.0
38,4,-6.900856971740723,31.513891220092773,7.0
38,5,-9.02491283416748,20.253028869628906,92.0
40,0,-12.541620254516602,65.40116882324219,187.0
40,1,-8.428352355957031,3.3335916996002197,128.0
40,2,-0.39225760102272034,1.1030339002609253,1.0
40,3,-30.794450759887695,169.42469787597656,1588.0
40,4,-6.842096328735352,30.60147476196289,7.0
40,5,-9.085991859436035,20.669597625732422,92.0
42,0,-12.454264640808105,63.52423858642578,182.0
42,1,-8.487197875976562,3.3617334365844727,130.0
42,2,-0.37277379631996155,1.097674012184143,1.0
42,3,-30.62405014038086,164.6806640625,1529.0
42,4,-6.805445194244385,30.045791625976562,7.0
42,5,-9.113815307617188,20.8621883392334,90.0
44,0,-12.345932960510254,61.27127456665039,184.0
44,1,-8.694113731384277,3.462587833404541,145.0
44,2,-0.36290934681892395,1.0949703454971313,1.0
44,3,-30.49179458618164,161.09043884277344,1489.0
44,4,-6.7321271896362305,28.96428680419922,7.0
44,5,-9.061931610107422,20.504491806030273,92.0
46,0,-12.334644317626953,61.04113006591797,183.0
46,1,-8.706746101379395,3.4688422679901123,137.0
46,2,-0.3737260401248932,1.097935438156128,1.0
46,3,-30.52212905883789,161.90687561035156,1458.0
46,4,-6.610387802124023,27.253826141357422,7.0
46,5,-9.009356498718262,20.148277282714844,89.0
48,0,-12.437899589538574,63.17865753173828,189.0
48,1,-8.49272346496582,3.3643884658813477,114.0
48,2,-0.39651644229888916,1.1042088270187378,1.0
48,3,-30.685726165771484,166.3822479248047,1509.0
48,4,-6.5289154052734375,26.165916442871094,7.0
48,5,-9.16094970703125,21.192554473876953,93.0
50,0,-12.326082229614258,60.8671760559082,185.0
50,1,-8.461061477661133,3.349205255508423,112.0
50,2,-0.3780355751514435,1.0991188287734985,1.0
50,3,-30.698619842529297,166.74012756347656,1526.0
50,4,-6.407886505126953,24.629459381103516,7.0
50,5,-9.272539138793945,21.995683670043945,96.0
52,0,-12.172608375549316,57.83164596557617,178.0
52,1,-8.292978286743164,3.269742250442505,110.0
52,2,-0.3504706919193268,1.0915707349777222,1.0
52,3,-30.48731231689453,160.97012329101562,1452.0
52,4,-6.229180335998535,22.524198532104492,7.0
52,5,-9.210987091064453,21.54899024963379,93.0
54,0,-12.15794849395752,57.54973220825195,177.0
54,1,-8.285381317138672,3.266195774078369,113.0
54,2,-0.33158060908317566,1.086427927017212,1.0
54,3,-30.432415008544922,159.5040283203125,1459.0
54,4,-6.349104881286621,23.916112899780273,7.0
54,5,-9.237728118896484,21.74193000793457,95.0
56,0,-12.147624969482422,57.35202407836914,176.0
56,1,-8.442081451416016,3.3401365280151367,121.0
56,2,-0.33195552229881287,1.0865297317504883,1.0
56,3,-30.582609176635742,163.54721069335938,1517.0
56,4,-6.307967185974121,23.42921257019043,7.0
56,5,-9.321581840515137,22.358217239379883,94.0
58,0,-12.156195640563965,57.5161247253418,176.0
58,1,-8.47131061553955,3.354112386703491,121.0
58,2,-0.33223941922187805,1.0866068601608276,1.0
58,3,-30.5316104888916,162.16293334960938,1470.0
58,4,-6.2471022605896,22.72694206237793,7.0
58,5,-9.389609336853027,22.871000289916992,93.0
60,0,-12.180977821350098,57.99321746826172,181.0
60,1,-8.46083927154541,3.3490989208221436,112.0
60,2,-0.3390747606754303,1.0884652137756348,1.0
60,3,-30.484285354614258,160.888916015625,1449.0
60,4,-6.232351303100586,22.5599365234375,7.0
60,5,-9.399382591247559,22.94563102722168,95.0
62,0,-12.181397438049316,58.00132369995117,179.0
62,1,-8.413764953613281,3.3266520500183105,107.0
62,2,-0.3483138084411621,1.0909823179244995,1.0
62,3,-30.566932678222656,163.1204071044922,1501.0
62,4,-6.251595497131348,22.778059005737305,7.0
62,5,-9.389147758483887,22.867483139038086,95.0
64,0,-12.168054580688477,57.74393844604492,179.0
64,1,-8.317424774169922,3.281181573867798,108.0
64,2,-0.33882617950439453,1.0883976221084595,1.0
64,3,-30.73517417907715,167.7591094970703,1508.0
64,4,-6.240298271179199,22.649755477905273,7.0
64,5,-9.461320877075195,23.424291610717773,99.0
66,0,-12.18952465057373,58.15865707397461,180.0
66,1,-8.316630363464355,3.280809164047241,106.0
66,2,-0.30761876702308655,1.0799391269683838,1.0
66,3,-30.716941833496094,167.2500762939453,1487.0
66,4,-6.318210601806641,23.549518585205078,7.0
66,5,-9.422428131103516,23.12257194519043,96.0
68,0,-12.23167896270752,58.98163604736328,180.0
68,1,-8.321632385253906,3.283154249191284,108.0
68,2,-0.3094407021999359,1.0804311037063599,1.0
68,3,-30.598047256469727,163.96856689453125,1446.0
68,4,-6.196535110473633,22.159528732299805,7.0
68,5,-9.438761711120605,23.248807907104492,95.0
70,0,-12.109739303588867,56.63230514526367,179.0
70,1,-8.27125072479248,3.2596089839935303,104.0
70,2,-0.3166638910770416,1.0823839902877808,1.0
70,3,-30.45404624938965,160.08013916015625,1428.0
70,4,-6.190871238708496,22.096860885620117,7.0
70,5,-9.476140975952148,23.540294647216797,95.0
72,0,-12.134793281555176,57.10724639892578,179.0
72,1,-8.320274353027344,3.282517433166504,106.0
72,2,-0.3142186105251312,1.0817224979400635,1.0
72,3,-30.49102020263672,161.0696258544922,1437.0
72,4,-6.200038909912109,22.198383331298828,7.0
72,5,-9.507241249084473,23.78560447692871,95.0
74,0,-12.132777214050293,57.06888961791992,178.0
74,1,-8.333003997802734,3.28849196434021,106.0
74,2,-0.30813461542129517,1.080078363418579,1.0
74,3,-30.406057357788086,158.8048553466797,1427.0
74,4,-6.17458438873291,21.917648315429688,7.0
74,5,-9.463216781616211,23.43910026550293,95.0
76,0,-12.133857727050781,57.08943557739258,179.0
76,1,-8.298681259155273,3.272407293319702,104.0
76,2,-0.3085736930370331,1.0801969766616821,1.0
76,3,-30.490522384643555,161.05625915527344,1455.0
76,4,-6.215623378753662,22.372034072875977,7.0
76,5,-9.462552070617676,23.433910369873047,95.0
78,0,-12.163858413696289,57.663204193115234,180.0
78,1,-8.410615921020508,3.32515549659729,109.0
78,2,-0.30758795142173767,1.0799307823181152,1.0
78,3,-30.659048080444336,165.64407348632812,1467.0
78,4,-6.274708271026611,23.04281997680664,7.0
78,5,-9.559730529785156,24.205425262451172,97.0
80,0,-12.178450584411621,57.94437789916992,182.0
80,1,-8.336763381958008,3.2902588844299316,104.0
80,2,-0.32049474120140076,1.0834211111068726,1.0
80,3,-30.52321434020996,161.93621826171875,1437.0
80,4,-6.195944786071777,22.15298843383789,7.0
80,5,-9.5964994430542,24.503923416137695,98.0
82,0,-12.192543029785156,58.217201232910156,184.0
82,1,-8.256105422973633,3.2525641918182373,103.0
82,2,-0.31104332208633423,1.0808641910552979,1.0
82,3,-30.532278060913086,162.1810302734375,1425.0
82,4,-6.233236312866211,22.569923400878906,7.0
82,5,-9.507381439208984,23.786714553833008,97.0
84,0,-12.138053894042969,57.16936492919922,179.0
84,1,-8.30093002319336,3.27345871925354,104.0
84,2,-0.3269689977169037,1.0851761102676392,1.0
84,3,-30.551973342895508,162.71426391601562,1378.0
84,4,-6.234613418579102,22.585468292236328,7.0
84,5,-9.544737815856934,24.084760665893555,94.0
86,0,-12.154874801635742,57.49079132080078,181.0
86,1,-8.337157249450684,3.2904441356658936,105.0
86,2,-0.32141104340553284,1.0836693048477173,1.0
86,3,-30.607280731201172,164.22105407714844,1482.0
86,4,-6.253883361816406,22.80413055419922,7.0
86,5,-9.589897155761719,24.45005226135254,97.0
88,0,-12.134149551391602,57.09498977661133,181.0
88,1,-8.325681686401367,3.2850542068481445,103.0
88,2,-0.3128068149089813,1.0813407897949219,1.0
88,3,-30.502248764038086,161.37135314941406,1450.0
88,4,-6.197866916656494,22.17428970336914,7.0
88,5,-9.463272094726562,23.439531326293945,94.0
90,0,-12.139593124389648,57.198699951171875,184.0
90,1,-8.275144577026367,3.2614223957061768,103.0
90,2,-0.31306031346321106,1.081409215927124,1.0
90,3,-30.54532241821289,162.53396606445312,1419.0
90,4,-6.257297515869141,22.843093872070312,7.0
90,5,-9.53656005859375,24.019193649291992,98.0
92,0,-12.193973541259766,58.24496841430664,185.0
92,1,-8.312013626098633,3.2786459922790527,103.0
92,2,-0.31534215807914734,1.0820263624191284,1.0
92,3,-30.58682632446289,163.66220092773438,1454.0
92,4,-6.256259441375732,22.831239700317383,7.0
92,5,-9.561080932617188,24.216325759887695,96.0
94,0,-12.103343963623047,56.51172637939453,178.0
94,1,-8.3350248336792,3.2894415855407715,104.0
94,2,-0.30356407165527344,1.0788450241088867,1.0
94,3,-30.495159149169922,161.1807861328125,1386.0
94,4,-6.192438125610352,22.114181518554688,7.0
94,5,-9.559529304504395,24.20380401611328,97.0
96,0,-12.148313522338867,57.36520767211914,182.0
96,1,-8.31574535369873,3.2803940773010254,103.0
96,2,-0.31267979741096497,1.0813064575195312,1.0
96,3,-30.453516006469727,160.06594848632812,1400.0
96,4,-6.22230339050293,22.446882247924805,7.0
96,5,-9.484240531921387,23.60393524169922,96.0
98,0,-12.150897026062012,57.41463088989258,180.0
98,1,-8.307048797607422,3.2763211727142334,104.0
98,2,-0.31240764260292053,1.0812329053878784,1.0
98,3,-30.622987747192383,164.6515350341797,1436.0
98,4,-6.213192939758301,22.34486198425293,7.0
98,5,-9.600184440612793,24.534040451049805,97.0
100,0,-12.178984642028809,57.954681396484375,182.0
100,1,-8.35909652709961,3.3007729053497314,104.0
100,2,-0.3152737021446228,1.082007884979248,1.0
100,3,-30.565183639526367,163.07289123535156,1405.0
100,4,-6.280769348144531,23.112756729125977,7.0
100,5,-9.64593505859375,24.91105842590332,99.0
