step,probe_index,log_prob,perplexity,target_rank
0,0,-35.74129867553711,87.15274810791016,1258.0
0,1,-7.281019687652588,11.324929237365723,21.0
0,2,-33.36212158203125,790.3092041015625,956.0
0,3,-23.234722137451172,104.26592254638672,72.0
0,4,-16.080516815185547,55.70830535888672,39.0
0,5,-10.484701156616211,32.9470100402832,38.0
0,6,-7.760876178741455,48.4454345703125,17.0
0,7,-20.579360961914062,61.30567169189453,435.0
0,8,-22.73220443725586,94.29621887207031,419.0
0,9,-2.6178970336914062,3.7022786140441895,1.0
0,10,-24.392982482910156,445.0762634277344,266.0
0,11,-6.692412376403809,3.8132524490356445,16.0
0,12,-12.849044799804688,72.45855712890625,1121.0
0,13,-14.273155212402344,1257.11865234375,92.0
0,14,-22.35939598083496,267.6951904296875,467.0
0,15,-11.609292984008789,331.8378601074219,32.0
0,16,-23.80044174194336,2789.1181640625,338.0
0,17,-16.332931518554688,231.4376983642578,337.0
0,18,-11.286561965942383,43.0424690246582,7.0
0,19,-13.924062728881836,1055.776123046875,485.0
0,20,-14.500917434692383,1408.7508544921875,184.0
0,21,-9.453996658325195,23.367172241210938,17.0
0,22,-12.361567497253418,61.59141540527344,54.0
0,23,-13.476341247558594,14.809490203857422,43.0
2,0,-35.75144958496094,87.2634048461914,1264.0
2,1,-7.254968643188477,11.227014541625977,22.0
2,2,-33.2734375,776.4152221679688,998.0
2,3,-23.27920150756836,105.19759368896484,72.0
2,4,-16.062528610229492,55.458343505859375,40.0
2,5,-10.504046440124512,33.1601448059082,38.0
2,6,-7.769133567810059,48.6458625793457,17.0
2,7,-20.565221786499023,61.132537841796875,438.0
2,8,-22.72235870361328,94.11070251464844,417.0
2,9,-2.643902540206909,3.750732898712158,1.0
2,10,-24.452510833740234,451.7494201660156,278.0
2,11,-6.6885175704956055,3.8102829456329346,15.0
2,12,-12.886387825012207,73.36614990234375,1117.0
2,13,-14.288736343383789,1266.95068359375,96.0
2,14,-22.328975677490234,265.6670837402344,463.0
2,15,-11.616588592529297,333.050537109375,30.0
2,16,-23.843830108642578,2829.748779296875,349.0
2,17,-16.186817169189453,220.43560791015625,324.0
2,18,-11.237382888793945,42.34262466430664,7.0
2,19,-13.909835815429688,1048.29248046875,473.0
2,20,-14.536252975463867,1433.861572265625,188.0
2,21,-9.418993949890137,23.096120834350586,15.0
2,22,-12.306798934936523,60.47719192504883,52.0
2,23,-13.539227485656738,14.996930122375488,43.0
4,0,-34.92021179199219,78.65148162841797,1246.0
4,1,-7.211424827575684,11.065237045288086,23.0
4,2,-32.32997131347656,642.9033203125,977.0
4,3,-22.47891616821289,89.63835906982422,56.0
4,4,-15.83670425415039,52.41412353515625,41.0
4,5,-10.46212100982666,32.699951171875,38.0
4,6,-7.785304069519043,49.040771484375,19.0
4,7,-20.348403930664062,58.53826904296875,380.0
4,8,-22.149723052978516,83.9267578125,410.0
4,9,-2.679609537124634,3.818297863006592,1.0
4,10,-24.16014289855957,419.90802001953125,257.0
4,11,-6.731385707855225,3.8430914878845215,16.0
4,12,-12.732623100280762,69.70052337646484,1118.0
4,13,-14.258626937866211,1248.0198974609375,93.0
4,14,-22.22054672241211,258.56231689453125,463.0
4,15,-11.662324905395508,340.7545471191406,31.0
4,16,-23.87930679321289,2863.41064453125,347.0
4,17,-15.976780891418457,205.53030395507812,329.0
4,18,-11.177590370178223,41.507057189941406,7.0
4,19,-13.84630012512207,1015.5138549804688,466.0
4,20,-14.319747924804688,1286.748779296875,178.0
4,21,-9.531417846679688,23.97806167602539,17.0
4,22,-12.39421272277832,62.26530456542969,53.0
4,23,-13.38381290435791,14.537951469421387,38.0
6,0,-32.833858489990234,60.59620666503906,1181.0
6,1,-6.933896064758301,10.087515830993652,21.0
6,2,-29.013757705688477,331.20965576171875,1015.0
6,3,-20.44664764404297,59.69986343383789,35.0
6,4,-15.31772518157959,46.03635025024414,43.0
6,5,-10.356790542602539,31.57177734375,37.0
6,6,-7.781261444091797,48.94174575805664,20.0
6,7,-19.769075393676758,52.13387680053711,300.0
6,8,-20.372787475585938,58.824432373046875,409.0
6,9,-2.7710459232330322,3.996915578842163,1.0
6,10,-23.61202049255371,366.1361083984375,233.0
6,11,-6.85831356048584,3.941899538040161,19.0
6,12,-12.255159378051758,59.44508743286133,1096.0
6,13,-14.061784744262695,1131.0394287109375,81.0
6,14,-21.761091232299805,230.50506591796875,412.0
6,15,-11.709278106689453,348.8489685058594,29.0
6,16,-24.050689697265625,3031.7529296875,345.0
6,17,-15.343920707702637,166.44088745117188,349.0
6,18,-11.082111358642578,40.20684051513672,7.0
6,19,-13.64979362487793,920.4813842773438,421.0
6,20,-13.96202278137207,1076.006103515625,150.0
6,21,-9.60550594329834,24.577598571777344,22.0
6,22,-12.459402084350586,63.63310241699219,53.0
6,23,-13.184516906738281,13.969876289367676,34.0
8,0,-25.537960052490234,24.343015670776367,976.0
8,1,-6.851551532745361,9.814396858215332,25.0
8,2,-20.579002380371094,61.3012580871582,1033.0
8,3,-15.403331756591797,21.772905349731445,44.0
8,4,-14.822810173034668,40.67861557006836,44.0
8,5,-10.011054039001465,28.135103225708008,34.0
8,6,-7.889683723449707,51.66816329956055,21.0
8,7,-19.66823959350586,51.093017578125,307.0
8,8,-16.025779724121094,24.659343719482422,481.0
8,9,-2.8720929622650146,4.204042434692383,1.0
8,10,-22.43817901611328,273.0199279785156,161.0
