step,loss,chunked_perplexity
1,1.9713,7.180004429629613
2,1.813,6.128806299058395
3,1.9134,6.77608837757441
4,1.8661,6.463041322739562
5,1.933,6.9102098061281865
6,1.9151,6.787617524814838
7,1.9635,7.1242182440379835
8,1.7966,6.0291135904007245
9,1.8597,6.4218099394369546
10,1.8991,6.679879844256313
11,1.7759,5.90559377967261
12,1.806,6.086054460968166
13,1.8236,6.194117181981485
14,1.7583,5.802564645046743
15,1.818,6.159527068475654
16,1.8155,6.1441474832961385
17,1.7728,5.887314786034188
18,1.8253,6.204656136764287
19,1.7058,5.505788536658224
20,1.8232,6.191640030572002
21,1.6593,5.255630615086338
22,1.7429,5.713889699102383
23,1.6768,5.348413634381295
24,1.7295,5.637834286438347
25,1.585,4.879291378512731
26,1.7909,5.994845400058989
27,1.6916,5.428158814895898
28,1.6228,5.067258796064809
29,1.6237,5.071821381836889
30,1.5546,4.733192869305779
31,1.6233,5.069793058975772
32,1.6267,5.087059692018943
33,1.5293,4.614945229713533
34,1.5706,4.8095330480611835
35,1.5303,4.619562483185211
36,1.6322,5.115115603356986
37,1.5786,4.84816362873884
38,1.5399,4.664123835283201
39,1.5164,4.5557947769372635
40,1.5838,4.873439740543494
41,1.5164,4.5557947769372635
42,1.488,4.428230196243525
43,1.4765,4.377597246464027
44,1.5455,4.690316198929656
45,1.4763,4.376721814560843
46,1.489,4.43266064129309
47,1.4863,4.420708600078102
48,1.5039,4.499201785309216
49,1.4658,4.331006660076208
50,1.4563,4.290056916065272
51,1.436,4.203846754319332
52,1.4841,4.4109937314317715
53,1.4543,4.281485376629757
54,1.4237,4.1524561394283275
55,1.4478,4.253745972411124
56,1.4673,4.3375080448859205
57,1.4329,4.190835008007963
58,1.4562,4.289627931823236
59,1.3475,3.8477940112859113
60,1.3386,3.8137005853754933
61,1.4924,4.447757337313573
62,1.385,3.994825904816633
63,1.3422,3.8274546499446833
64,1.324,3.758425050110714
65,1.4466,4.24864453871662
66,1.3698,3.9345637040331454
67,1.4266,4.164515740202023
68,1.4548,4.283626654592953
69,1.4336,4.193769619507764
70,1.2362,3.4425070515530556
71,1.3536,3.871337288747278
72,1.3442,3.8351172192596983
73,1.3139,3.7206560118157395
74,1.4692,4.345757144334075
75,1.361,3.9000914438431886
76,1.4644,4.324947493158607
77,1.4235,4.151625731244028
78,1.3518,3.8643751494326937
79,1.3627,3.906727238124741
80,1.3705,3.937318862819042
81,1.425,4.157857842756007
82,1.3936,4.029329560660916
83,1.3142,3.7217723760655486
84,1.329,3.7772642340728892
85,1.3928,4.02610738605408
86,1.445,4.241852142820435
87,1.3962,4.039819448463476
88,1.3565,3.882580461605701
89,1.3467,3.844717007042687
90,1.375,3.955076722920577
91,1.3298,3.780287254507094
92,1.4119,4.103745117223
93,1.4296,4.177028046497844
94,1.3527,3.8678546526087465
95,1.3348,3.7992360232248386
96,1.4168,4.123902814323112
97,1.4114,4.101693757547045
98,1.2992,3.6663624041470313
99,1.3925,4.02489973499498
100,1.3965,4.04103157610807
