step,corpus_perplexity,corpus_loss
1,6.774879455566406,1.9132216074601722
2,6.719130992889404,1.904958817659162
3,6.546520233154297,1.8789336672392338
4,6.264355659484863,1.8348756741423633
5,6.015398025512695,1.7943225051322695
6,5.75271463394165,1.7496717761563991
7,5.53905725479126,1.711824290627274
8,5.372245788574219,1.681246025300487
9,5.241252899169922,1.6565605456740158
10,5.1345086097717285,1.6359841744461772
11,5.0374884605407715,1.6169076506110187
12,4.955225944519043,1.6004427251400868
13,4.887040138244629,1.5865868356140609
14,4.8311004638671875,1.5750743176808673
15,4.788607120513916,1.5662395553941226
16,4.756977558135986,1.5596125438233106
17,4.734641075134277,1.5549058424257443
18,4.719541549682617,1.5517117289918891
19,4.709385395050049,1.5495574821095441
20,4.703917980194092,1.548395715769154
21,4.70143461227417,1.547867677130258
22,4.699823379516602,1.5475248780574917
23,4.699092388153076,1.547369343573382
24,4.698701858520508,1.547286245383281
25,4.699931621551514,1.547547982958305
