step,corpus_perplexity,corpus_loss
1,5.049747467041016,1.6193382147295339
2,5.010178565979004,1.6114715475338972
3,4.865131378173828,1.5820936837541737
4,4.580515384674072,1.5218114710575266
5,4.356588840484619,1.4716893240955724
6,4.152546405792236,1.4237218104296954
7,3.9716007709503174,1.3791692027301743
8,3.8128292560577393,1.338371478110101
9,3.6782078742980957,1.3024256623496615
10,3.5710935592651367,1.2728719110354785
11,3.482267141342163,1.2476835146479153
12,3.4066162109375,1.2257194739812627
13,3.3404178619384766,1.2060959488746499
14,3.284257411956787,1.1891405850957262
15,3.2376248836517334,1.1748400179199276
16,3.2060179710388184,1.1650296098896855
17,3.182237148284912,1.157584390959078
18,3.164856195449829,1.1521075778628698
19,3.155188798904419,1.149048350191964
20,3.1480860710144043,1.1467947289683706
21,3.1457316875457764,1.1460465045720458
22,3.1448910236358643,1.1457792122631625
23,3.1435511112213135,1.1453531384309934
24,3.143134832382202,1.1452206810642283
25,3.1438357830047607,1.145443680432533
