step,corpus_perplexity,corpus_loss
1,4.430630207061768,1.4885418284662464
2,4.434606075286865,1.489438773822845
3,4.53942346572876,1.5128000040512177
4,4.620233058929443,1.5304450949966253
5,4.673201084136963,1.54184423494192
6,4.718689441680908,1.5515311300641055
7,4.752167701721191,1.5586008690341513
8,4.7751922607421875,1.5634342383490976
9,4.792089462280273,1.5669664775906929
10,4.805049896240234,1.5696674397432941
11,4.814359664916992,1.5716030560612884
12,4.818894863128662,1.572544593809522
13,4.822639465332031,1.5733213568978928
14,4.823517322540283,1.573503416202174
15,4.823426246643066,1.57348456421879
16,4.8247199058532715,1.573752643688277
17,4.824321746826172,1.5736701747633755
18,4.8248066902160645,1.5737705920416831
19,4.825733661651611,1.5739628508361407
20,4.824466705322266,1.5737001348010906
